id,title,users_score,age_rating,first_release_date,game_engine_id
1,Commandos 2: Men of Courage,85,12,2001-09-20,
2,Freedom Force vs the 3rd Reich,89,12,2005-03-08,
3,Heroes of Might and Magic V: Tribes of the East,84,16,2007-10-12,
4,Need for Speed: Shift,71,3,2009-09-15,
5,VVVVVV,76,3,2017-11-17,1
6,Super Mario Bros.,86,3,1985-01-01,
7,Uncharted 3: Drake's Deception,87,16,2011-11-01,
8,Uncharted: Drake's Fortune,81,16,2015-10-07,
9,Grand Theft Auto V,89,18,2022-03-15,
10,Spectromancer,73,16,2008-10-01,66
11,Half-Life 2: Episode One,88,16,2013-06-26,
12,Empire Earth,79,12,2001-11-12,21
13,Amnesia: The Dark Descent,73,18,2010-09-08,
14,Gunvalkyrie,93,12,2002-03-18,
15,MotorStorm: Arctic Edge,94,12,2009-09-17,
16,InFamous 2,83,16,2011-06-07,
17,Fire Emblem: New Mystery of the Emblem,73,0,2010-07-15,
18,XCOM: Enemy Unknown,84,18,2012-10-09,
19,DC Universe Online,59,12,2024-03-26,
20,Army Men: RTS,79,12,2002-03-28,46
21,Cossacks II: Napoleonic Wars,82,12,2005-04-15,
22,Cossacks: European Wars,84,12,2001-04-24,
23,Forza Motorsport 4,79,3,2011-10-11,
24,Spore Hero Arena,73,3,2009-10-08,
25,Age of Empires II: The Age of Kings,64,12,2002-02-14,
26,Age of Empires III,49,12,2009-04-28,
27,Age of Empires Online,71,12,2011-08-16,
28,Sonic the Hedgehog 2,86,3,2013-06-27,
29,Sonic the Hedgehog 2,86,7,2013-12-12,
30,Sonic the Hedgehog,71,3,2006-11-19,
31,Assassin's Creed III,75,18,2012-10-30,
32,Sonic & Knuckles,86,3,2010-02-12,
33,Sly Cooper and the Thievius Raccoonus,83,3,2014-05-27,
34,Nintendo Land,71,7,2012-11-18,
35,Animal Crossing: New Leaf,87,3,2012-11-08,
36,Curiosity – What's Inside the Cube?,80,12,2012-11-06,
37,The Elder Scrolls IV: Oblivion,87,16,2009-06-16,
38,The Neverhood,87,7,1996-10-31,
39,Star Wars: Rogue Squadron,75,12,1999-01-10,
40,Star Wars Rogue Squadron III: Rebel Strike,87,12,2003-10-15,
41,Star Wars Rogue Squadron II: Rogue Leader,75,12,2001-11-09,
42,Super Star Wars,78,7,2009-08-10,
43,Super Star Wars: The Empire Strikes Back,74,12,2009-08-24,
44,Super Star Wars: Return of the Jedi,85,12,2009-09-07,
45,Star Wars: Episode I – The Phantom Menace,85,12,2024-01-16,
46,Star Wars Episode I: Jedi Power Battles,86,12,2000-03-31,
47,Star Wars Episode I: Battle for Naboo,65,12,2000-12-18,
48,Star Wars Episode I: Obi-Wan's Adventures,70,7,2000-11-27,
49,Star Wars: Obi-Wan,74,12,2002-03-29,
50,Star Wars: Episode II – Attack of the Clones,72,16,2002-05-30,
51,Star Wars: The New Droid Army,62,12,2002-11-29,
52,Star Wars: Episode III – Revenge of the Sith,86,12,2005-05-05,
53,Star Wars: The Clone Wars – Lightsaber Duels,73,16,2008-11-11,
54,Star Wars: The Clone Wars – Jedi Alliance,85,7,2008-11-11,
55,Star Wars: The Clone Wars – Republic Heroes,61,12,2009-10-06,
56,Clone Wars Adventures,53,12,2010-09-15,
57,Star Wars Trilogy: Apprentice of the Force,57,3,2004-09-21,
58,Star Wars Battlefront: Renegade Squadron,88,16,2007-10-09,
59,Star Wars: Battlefront II,72,12,2005-10-31,46
60,Star Wars Battlefront: Elite Squadron,57,12,2009-11-03,
61,Lego Star Wars: The Complete Saga,82,3,2009-11-12,
62,Lego Star Wars: The Video Game,84,3,2005-03-29,
63,Star Wars Episode I: Racer,62,7,1999-05-19,
64,Star Wars: Bounty Hunter,70,16,2015-11-17,
65,Star Wars: Racer Arcade,52,3,2000-01-01,
66,Star Wars: Starfighter,58,12,2001-02-19,
67,Lego Star Wars III: The Clone Wars,76,7,2011-03-22,
68,Star Wars: Jedi Starfighter,63,12,2002-03-10,
69,Star Wars: Republic Commando: Order 66,67,12,2005-08-30,
70,Lego Star Wars II: The Original Trilogy,66,3,2006-09-11,
71,Lego Star Wars II Mobile,54,3,2006-12-19,
72,Star Wars Trilogy Arcade,71,16,1999-01-01,
73,Star Wars: Force Commander,59,12,2000-03-21,
74,Star Wars: Masters of Teräs Käsi,73,16,1997-10-31,
