id,name,version,company_id,release_date,is_active
1,Adobe Flash,1.0,7,2003-01-01,false
2,GameMaker,2024.14.4,1202,1999-11-15,true
3,Virtual Theatre,1.0,561,1996-09-30,false
4,Dark Engine,1.0,382,1998-11-30,false
5,PhyreEngine,3.5.1,11,2006-04-14,true
6,SCUMM,1.0,63,1987-01-01,true
7,Crystal Tools,1.0,56,2010-09-30,false
8,EGO,1.0,82,2008-05-30,false
9,Euphoria,1.0,748,2008-09-16,false
10,RenderWare,1.0,476,2000-03-04,true
11,Jedi,1.0,63,1997-03-01,false
12,Quantum3,1.0,543,2012-11-13,false
13,IW,1.0,131,2006-01-01,true
14,SAGE,1.0,80,2002-02-26,false
15,X-Ray Engine,1.6.02 (build 4017),453,2001-01-01,false
16,Sith,1.0,63,1997-10-10,false
17,Titanium,1.0,470,2009-06-09,false
18,Real Virtuality,1.0,295,2001-06-22,false
19,Unigine,2.19,1114,2004-05-04,true
20,Treyarch NGL,1.0,131,2007-03-23,false
21,Titan,1.0,721,2001-11-12,false
22,MT Framework,1.0,8,2006-01-01,true
23,IRISZOOM,1.0,547,2010-09-07,false
24,Zouna,1.0,243,2021-07-06,true
25,GlyphX,1.0,217,2018-09-21,true
26,Storm3D,1.0,617,2009-07-03,false
27,Bezel Engine,1.0,6,2018-10-05,true
28,Europa Engine,1.0,66,2000-01-01,false
29,RuneTek,1.0,334,2001-01-04,false
30,HeroEngine,1.0,1170,2012-03-01,false
31,RPG Maker XP,1.03,115,2004-07-22,true
32,TOSHI,1.0,294,2003-03-10,true
33,4A Engine,1.0,568,2010-03-16,false
34,Asura,1.0,556,1999-04-30,false
35,BRender,1.0,103,1997-09-29,false
36,Dagor Engine,http://www.wikidata.org/.well-known/geni,503,2001-01-01,false
37,Diesel,1.0,563,2009-03-17,false
38,EAGL,1.0,252,2003-11-17,false
39,Hedgehog Engine,1.0,390,2011-11-01,true
40,HydroEngine,1.0,929,2010-09-29,false
41,Infernal Engine,1.0,564,2004-10-12,false
42,Luminous Engine,1.0,56,2016-11-29,true
43,Serious Engine,1.0,602,2001-01-01,true
44,Vicious Engine,1.0,613,2011-01-11,true
45,CPAGE,1.0,882,2014-12-05,false
46,Zero,1.0,89,2002-03-28,false
47,Clausewitz Engine,1.0,803,2008-04-18,true
48,Evolution Engine,1.0,404,2012-02-07,false
49,REDengine,4,415,2011-05-01,true
50,Umbra 3,1.0,878,2014-09-09,false
51,Dawn Engine,1.0,936,2016-08-23,true
52,Decima,1.0,119,2013-11-15,true
53,Hedgehog Engine 2,1.0,390,2017-11-07,true
54,Void Engine,1.0,223,2016-11-11,true
55,Vengeance Engine,Vengeance Engine 2,251,2005-04-05,false
56,Road Hog Engine,1.0,1184,2009-04-01,true
57,Unity 2018,1.0,1115,2023-09-20,true
58,PlayGround SDK,1.0,572,2015-09-29,false
59,Genome,1.0,227,2006-10-13,true
60,ZenGin,1.0,227,2001-03-15,false
61,Clickteam Fusion 2.5,1.0,590,2019-11-29,true
62,LunchPack,1.0,6,2015-05-28,true
63,Swarm Engine,1.0,625,2021-11-02,true
64,EngineX,1.0,614,2001-01-01,false
65,Refractor 2,1.0,242,2004-03-14,false
66,ApusGameEngine,1.0,1178,2000-01-01,true
67,Cobra Engine,1.0,112,1988-01-01,true
68,Merkury,1.0,832,2014-05-22,false
69,KEX Engine,1.0,1227,2012-01-01,true
