game_id,platform_id,company_id,release_date,region,role
6,38,40,1985-01-01,WW,developer
6,38,6,1985-01-01,JP,publisher
6,16,40,1985-01-01,WW,developer
6,16,6,1985-01-01,JP,publisher
6,66,40,1985-01-01,WW,developer
6,66,6,1985-01-01,JP,publisher
6,69,40,1985-01-01,WW,developer
6,69,6,1985-01-01,JP,publisher
6,21,40,1985-01-01,WW,developer
6,21,6,1985-01-01,JP,publisher
6,28,40,1985-01-01,WW,developer
6,28,6,1985-01-01,JP,publisher
6,26,40,1985-01-01,WW,developer
6,26,6,1985-01-01,JP,publisher
6,5,40,1985-01-01,WW,developer
6,5,6,1985-01-01,JP,publisher
6,67,40,1985-01-01,WW,developer
6,67,6,1985-01-01,JP,publisher
6,27,40,1985-01-01,WW,developer
6,27,6,1985-01-01,JP,publisher
7,6,241,2011-11-01,WW,developer
7,6,11,2011-11-01,NA,publisher
7,6,1407,2011-11-01,NA,publisher
8,6,241,2015-10-07,WW,developer
8,6,11,2015-10-07,NA,publisher
9,6,474,2013-09-17,WW,developer
9,6,506,2013-09-17,WW,developer
9,6,571,2013-09-17,WW,developer
9,6,16,2013-09-17,NA,publisher
9,6,889,2013-09-17,EU,publisher
9,4,474,2015-04-14,WW,developer
9,4,506,2015-04-14,WW,developer
9,4,571,2015-04-14,WW,developer
9,4,16,2015-04-14,NA,publisher
9,4,889,2015-04-14,EU,publisher
9,106,474,2022-03-01,WW,developer
9,106,506,2022-03-01,WW,developer
9,106,571,2022-03-01,WW,developer
9,106,16,2022-03-01,NA,publisher
9,106,889,2022-03-01,EU,publisher
10,4,1178,2008-10-01,WW,developer
10,4,1178,2008-10-01,EU,publisher
12,4,721,2001-11-12,WW,developer
13,4,454,2010-09-08,WW,developer
13,4,188,2010-09-08,NA,publisher
13,4,454,2010-09-08,EU,publisher
13,8,454,2010-09-08,WW,developer
13,8,188,2010-09-08,NA,publisher
13,8,454,2010-09-08,EU,publisher
1,8,394,2001-09-20,WW,developer
1,8,228,2001-09-20,EU,publisher
1,8,1150,2001-09-20,EU,publisher
1,4,394,2001-09-20,WW,developer
1,4,228,2001-09-20,EU,publisher
1,4,1150,2001-09-20,EU,publisher
15,23,266,2009-09-17,WW,developer
15,23,11,2009-09-17,NA,publisher
16,6,11,2011-06-07,NA,publisher
2,4,251,2005-03-08,WW,developer
2,4,42,2005-03-08,NA,publisher
17,22,34,2010-07-15,WW,developer
17,22,6,2010-07-15,JP,publisher
3,4,48,2007-10-12,WW,developer
18,8,312,2012-10-09,WW,developer
18,8,336,2012-10-09,WW,developer
18,8,17,2012-10-09,NA,publisher
18,8,312,2012-10-09,EU,publisher
18,4,312,2012-10-09,WW,developer
18,4,336,2012-10-09,WW,developer
18,4,17,2012-10-09,NA,publisher
18,4,312,2012-10-09,EU,publisher
18,6,312,2012-10-09,WW,developer
18,6,336,2012-10-09,WW,developer
18,6,17,2012-10-09,NA,publisher
18,6,312,2012-10-09,EU,publisher
19,6,335,2024-03-26,WW,developer
19,6,11,2024-03-26,NA,publisher
19,6,599,2024-03-26,NA,publisher
19,6,903,2024-03-26,EU,publisher
19,4,335,2024-03-26,WW,developer
19,4,11,2024-03-26,NA,publisher
19,4,599,2024-03-26,NA,publisher
19,4,903,2024-03-26,EU,publisher
20,4,89,2002-03-28,WW,developer
20,4,367,2002-03-28,NA,publisher
20,27,89,2002-03-28,WW,developer
20,27,367,2002-03-28,NA,publisher
21,4,453,2005-04-15,WW,developer
21,4,88,2005-04-15,EU,publisher
21,4,453,2005-04-15,EU,publisher
22,4,453,2001-04-24,WW,developer
22,4,544,2001-04-24,EU,publisher
24,22,68,2009-10-08,WW,developer
24,22,42,2009-10-08,NA,publisher
25,4,500,2002-02-14,WW,developer
25,4,3,2002-02-14,NA,publisher
25,4,92,2002-02-14,JP,publisher
26,4,193,2009-04-28,WW,developer
26,4,401,2009-04-28,WW,developer
26,4,621,2009-04-28,WW,developer
26,4,13,2009-04-28,NA,publisher
26,4,14,2009-04-28,EU,publisher
26,36,193,2009-04-28,WW,developer
26,36,401,2009-04-28,WW,developer
26,36,621,2009-04-28,WW,developer
26,36,13,2009-04-28,NA,publisher
26,36,14,2009-04-28,EU,publisher
26,8,193,2009-04-28,WW,developer
26,8,401,2009-04-28,WW,developer
26,8,621,2009-04-28,WW,developer
26,8,13,2009-04-28,NA,publisher
26,8,14,2009-04-28,EU,publisher
26,9,193,2009-04-28,WW,developer
26,9,401,2009-04-28,WW,developer
26,9,621,2009-04-28,WW,developer
26,9,13,2009-04-28,NA,publisher
26,9,14,2009-04-28,EU,publisher
27,4,86,2011-08-16,WW,developer
27,4,401,2011-08-16,WW,developer
27,4,13,2011-08-16,NA,publisher
29,4,390,2013-12-12,WW,developer
29,27,390,2013-12-12,WW,developer
4,43,398,2009-09-15,WW,developer
4,43,42,2009-09-15,NA,publisher
4,6,398,2009-09-15,WW,developer
4,6,42,2009-09-15,NA,publisher
4,4,398,2009-09-15,WW,developer
4,4,42,2009-09-15,NA,publisher
4,9,398,2009-09-15,WW,developer
4,9,42,2009-09-15,NA,publisher
4,23,398,2009-09-15,WW,developer
4,23,42,2009-09-15,NA,publisher
5,4,988,2017-11-17,NA,publisher
5,81,988,2017-11-17,NA,publisher
5,8,988,2017-11-17,NA,publisher
5,70,988,2017-11-17,NA,publisher
5,33,988,2017-11-17,NA,publisher
5,66,988,2017-11-17,NA,publisher
19,106,335,2024-03-26,WW,developer
19,106,11,2024-03-26,NA,publisher
19,106,599,2024-03-26,NA,publisher
19,106,903,2024-03-26,EU,publisher
52,22,1100,2005-05-05,WW,developer
52,22,63,2005-05-05,NA,publisher
53,5,832,2008-11-11,WW,developer
53,5,63,2008-11-11,NA,publisher
54,22,63,2008-11-11,WW,developer
54,22,63,2008-11-11,NA,publisher
55,22,832,2009-10-06,WW,developer
55,22,63,2009-10-06,NA,publisher
55,6,832,2009-10-06,WW,developer
55,6,63,2009-10-06,NA,publisher
55,4,832,2009-10-06,WW,developer
55,4,63,2009-10-06,NA,publisher
55,5,832,2009-10-06,WW,developer
55,5,63,2009-10-06,NA,publisher
55,23,832,2009-10-06,WW,developer
55,23,63,2009-10-06,NA,publisher
56,4,335,2010-09-15,WW,developer
56,4,335,2010-09-15,NA,publisher
58,23,556,2007-10-09,WW,developer
58,23,63,2007-10-09,NA,publisher
59,23,89,2005-10-31,WW,developer
59,23,1019,2005-10-31,WW,developer
59,23,63,2005-10-31,NA,publisher
59,4,89,2005-10-31,WW,developer
59,4,1019,2005-10-31,WW,developer
59,4,63,2005-10-31,NA,publisher
60,23,196,2009-11-03,WW,developer
60,23,556,2009-11-03,WW,developer
60,23,63,2009-11-03,NA,publisher
60,22,196,2009-11-03,WW,developer
60,22,556,2009-11-03,WW,developer
60,22,63,2009-11-03,NA,publisher
61,22,312,2009-11-12,WW,developer
61,22,534,2009-11-12,WW,developer
61,22,63,2009-11-12,NA,publisher
61,22,312,2009-11-12,EU,publisher
61,5,312,2009-11-12,WW,developer
61,5,534,2009-11-12,WW,developer
61,5,63,2009-11-12,NA,publisher
61,5,312,2009-11-12,EU,publisher
61,4,312,2009-11-12,WW,developer
61,4,534,2009-11-12,WW,developer
61,4,63,2009-11-12,NA,publisher
61,4,312,2009-11-12,EU,publisher
61,6,312,2009-11-12,WW,developer
61,6,534,2009-11-12,WW,developer
61,6,63,2009-11-12,NA,publisher
61,6,312,2009-11-12,EU,publisher
61,8,312,2009-11-12,WW,developer
61,8,534,2009-11-12,WW,developer
61,8,63,2009-11-12,NA,publisher
61,8,312,2009-11-12,EU,publisher
62,8,534,2005-03-29,WW,developer
62,8,228,2005-03-29,EU,publisher
62,4,534,2005-03-29,WW,developer
