id,name,parent_id
1,comic,
2,adventure video game,
3,cracker,
4,heavy metal music,
5,puzzle video game,
6,online game,
7,artillery game,30
8,J-pop,
9,role-playing game,
10,hentai,
11,cyberpunk,
12,massively multiplayer online role-playing game,50
13,first-person shooter,117
14,real-time strategy,30
15,ecchi,
16,train simulator,
17,augmented reality,
18,artificial life,
19,action game,
20,Southern Gothic,
21,robinsonade,
22,yuri,
23,high fantasy,
24,survival horror,25
25,action-adventure game,2
26,third-person shooter,117
27,beat 'em up,47
28,virtual world,
29,space opera,
30,strategy video game,
31,god game,84
32,vehicle simulation game,84
33,music video game,
34,city-building game,30
35,combat flight simulator game,121
36,4X,30
37,psychological horror fiction,
38,road movie,
39,visual novel,64
40,harem,
41,hard science fiction,
42,role-playing video game,
43,location-based game,
44,bullet hell,57
45,platformer,19
46,Boys' Love game,58
47,fighting game,19
48,stealth game,
49,racing video game,52
50,massively multiplayer online game,
51,open world,
52,sports video game,
53,massively multiplayer online first-person shooter,13
54,construction and management simulation,
55,scrolling shooter,57
56,social network game,
57,shoot 'em up,117
58,eroge,10
59,otome game,
60,casual game,
61,biopunk,
62,tower defense,5
63,massively multiplayer online real-time strategy game,14
64,interactive fiction,2
65,roguelike,265
66,educational entertainment,
67,hack and slash,27
68,multiplayer online battle arena,14
69,minigame,
70,business simulation game,
71,life simulation game,84
72,side-scrolling video game,
73,educational video game,
74,tactical shooter,117
75,dungeon crawl,42
76,bishōjo game,77
77,dating sim,132
78,sim racing,
79,action role-playing game,19
80,adventure,
81,full motion video,
82,association football video game,
83,tactical role-playing game,42
84,simulation video game,
85,interactive film,
86,text-based video game,
87,space flight simulation game,121
88,sword and sorcery,
89,fitness video game,
90,nonlinear gameplay,
91,solitaire,
92,vehicular combat game,19
93,rail shooter,57
94,turn-based strategy video game,30
95,dance video game,52
96,side-scrolling beat 'em up,27
97,real-time tactics,14
98,computer wargame,30
99,slice of life,
100,graphic adventure game,2
101,rhythm game,33
102,management,
103,Breakout clone,
104,grand strategy wargame,98
105,equestrian video game,52
106,boxing video game,206
107,pinball video game,84
108,tabletop game,
109,medieval fantasy,
110,erotic video game,
111,art game,
112,casino game,
113,government simulation game,
114,light-gun shooter,
115,sports management video game,52
116,massively multiplayer browser role-playing game,12
117,shooter game,19
118,turn-based tactics,94
119,mech simulation game,32
120,tank simulation game,32
121,flight simulation video game,32
122,Christian video game,
123,hybrid literary genre,
124,science fiction anime and manga,
125,school anime and manga,
126,episodic video game,
127,falling-sand game,
128,Japanese role-playing video game,42
129,space simulator,
130,olympic video game,52
131,snowboarding video game,213
132,social simulation game,71
133,supernatural fiction,138
134,tile-matching video game,5
135,traditional video game,
136,party video game,
137,romance adventure game,2
138,speculative fiction,
139,falling block puzzle game,134
140,newsgame,
141,advergame,
142,historical video game,
143,horror video game,
144,point-and-click adventure,
145,physics game,84
146,horror anime and manga,
147,maze video game,5
148,romance video game,
149,arcade,
150,climate fiction,
151,drama anime and manga,
152,fantasy anime and manga,
153,romance anime and manga,
154,romantic comedy anime and manga,
155,adventure anime and manga,
156,Myst-like,
157,alternate history video game,
158,fishing video game,
159,incremental game,60
160,kart racing game,227
161,time management video game,30
162,board video game,
163,Metroidvania,25
164,ship simulation game,
165,truck simulation video game,
166,drama fiction,
167,survival game,19
168,space combat simulation game,87
169,crossover fiction,
170,sandbox game,
171,virtual pet video game,71
172,science fiction video game,
173,card video game,
174,twin-stick shooter,57
175,battle royale game,117
176,immersive sim,19
177,walking simulator,2
178,fantasy video game,
179,ship personification,
180,gacha game,
181,collectible card video game,
182,isekai,
183,yuri game,224
184,time travel video game,172
185,cyberpunk video game,11
186,association football management game,82
187,arena shooter,117
188,endless runner game,
189,supernatural horror game,143
190,golf video game,
191,run and gun,57
192,language learning video game,
193,mystery video game,
194,.io game,
195,space trading and combat game,87
196,match-three video game,134
197,detective video game,
198,miniature golf video game,60
199,tennis video game,52
200,beach volleyball video game,
201,puzzle-platformer,5
202,cabal shooter,
203,pool video game,
204,handball video game,
205,mixed martial arts video game,206
206,martial arts video game,
207,athletics video game,52
208,stunt racing video game,49
209,basketball video game,
210,American football video game,
211,tube shooter,57
212,card battle video game,94
213,winter sports video game,52
214,skateboarding video game,217
215,table tennis video game,
216,cheerleading video game,52
217,extreme sports video game,52
218,ice hockey video game,
219,roller skating video game,52
220,personal watercraft racing video game,49
221,chess video game,
222,kinetic novel,
223,factory simulation game,54
224,LGBT-themed video game,
225,video game with LGBT character,
226,roguelike deck-building game,65
227,arcade racing game,49
228,shogi video game,162
229,horizontally scrolling shooter,55
230,vertically scrolling shooter,55
231,fixed shooter,57
232,cinematic platformer,45
233,Tron-like,19
234,Japanese adventure,2
235,steampunk video game,
236,turn-based Japanese role-playing game,128
237,sudoku video game,
238,collect-a-thon platformer,45
239,hero shooter,117
240,roguelite,65
241,3D fighting game,
242,fumblecore,19
243,existentialist video game,
244,mascot racer,49
245,airdasher,315
246,Metroidbrainia,5
247,retrofuturistic video game,
248,neo-noir video game,
249,crime video game,
250,biological simulation video game,71
251,Puzz Loop clone,
252,self-reflexive video game,
253,hunting action,79
254,twitch shooter,117
255,fantasy role-playing game,9
256,isometric platformer,45
257,Chuunige,
258,Moege,
259,extraction shooter,117
260,science fiction horror video game,143
261,professional wrestling video game,
262,soulslike,79
263,Christmas video game,
264,halloween video game,122
265,turn-based role-playing game,42
266,photography game,84
267,space opera video game,29
268,side-scrolling role-playing video game,42
269,traffic simulation game,54
270,looter shooter,117
271,espionage video game,
272,roguevania,297
273,soulsvania,163
274,futuristic racing game,172
275,platform fighter,315
276,crowd-combat video game,67
277,dark fantasy video game,
278,raising sim video game,71
279,bus simulation video game,
280,magical girl video game,
281,multiple perspectives role-playing,
282,zombie video game,
283,vampire video game,
284,character-action video game,67
285,parody video game,
286,comedy video game,
287,satirical video game,
288,psychological horror video game,37
289,black comedy video game,
290,hard science fiction video game,41
291,low fantasy video game,
292,urban fantasy video game,
293,post-apocalyptic video game,
294,boomer shooter,13
295,rhythm platformer,45
296,superhero video game,
297,2D platform game,45
298,3D platform game,45
299,2.5D platform game,297
