id,name,short_name,type,generation,release_date,company_id
1,Raspberry Pi,RP,console,8,2012-02-29,511
2,Facebook,Facebook,console,6,2004-02-04,
3,Google Chrome,GC,console,7,2008-09-02,
4,Microsoft Windows,MW,computer,,1985-11-20,
5,Wii,Wii,console,7,2006-11-19,6
6,PlayStation 3,P3,console,7,2006-11-11,11
7,Windows 7,W7,computer,,2009-10-22,3
8,macOS,macOS,computer,,2001-03-24,
9,Windows Mobile,WM,mobile,,2000-04-19,
10,ZX Spectrum,ZS,computer,,1982-04-23,4
11,OpenBSD,OpenBSD,console,5,1995-10-18,
12,FreeBSD,FreeBSD,console,5,1993-11-01,
13,Berkeley Software Distribution,BSD,console,2,1977-01-01,
14,Windows Phone 8,WP8,mobile,,2012-06-20,3
15,Acorn Archimedes,AA,console,4,1987-06-01,
16,Wii U,WU,console,8,2012-11-18,6
17,PV-1000,P1,console,3,1983-10-01,64
18,BeOS,BeOS,console,5,1995-10-01,
19,Mac,Mac,console,3,1984-01-24,1
20,ChromeOS,ChromeOS,console,7,2011-06-15,
21,Famicom Disk System,FDS,console,3,1986-02-21,6
22,Nintendo DS,ND,handheld,6,2004-11-21,6
23,PlayStation Portable,PP,handheld,6,2004-12-12,11
24,DOS,DOS,computer,,1981-01-01,
25,BlackBerry,BlackBerry,console,6,1999-01-01,164
26,Nintendo Entertainment System,NES,console,3,1983-07-15,6
27,Nintendo GameCube,NG,console,6,2001-09-14,6
28,Super Nintendo Entertainment System,SNES,console,4,1990-11-21,6
29,NEC PC-9800 series,NP9S,computer,,1982-01-01,67
30,Zeebo,Zeebo,console,7,2009-05-25,1129
31,Nintendo 64,N6,console,5,1996-06-23,6
32,Game Boy,GB,handheld,4,1989-04-21,6
33,PlayStation Vita,PV,handheld,7,2011-12-17,11
34,Apple II series,AIS,console,2,1977-01-01,1
35,Zilog Z80,ZZ,console,2,1976-03-01,93
36,N-Gage,NG,handheld,6,2003-10-07,2
37,Steam,Steam,console,6,2003-09-12,
38,PlayChoice-10,P1,console,3,1986-01-01,
39,Entex Adventure Vision,EAV,console,2,1982-11-01,942
40,Amiga 1200,A1,computer,,1992-10-01,58
41,Amiga 4000,A4,computer,,1992-01-01,58
42,Amstrad CPC,AC,computer,,1984-01-01,144
43,Symbian,Symbian,console,6,1998-06-05,
44,FM Towns,FT,console,4,1989-02-28,49
45,Windows 9x,W9,computer,,1995-08-24,
46,Nintendo DSi,ND,handheld,7,2008-11-01,6
47,Atari Jaguar,AJ,console,5,1993-11-23,57
48,Amiga CD32,AC,computer,,1993-09-17,58
49,Atari 5200,A5,console,2,1982-11-01,57
50,OnLive,OnLive,cloud,,2004-01-01,
51,BBC Micro,BM,console,2,1981-12-01,124
52,Atari 7800,A7,console,3,1986-05-01,57
53,Atari Lynx,AL,handheld,4,1989-09-01,818
54,Virtual Console,VC,console,6,2004-11-14,
55,MSX,MSX,computer,,1983-01-01,
56,Binary Runtime Environment for Wireless,BREFW,console,6,2001-09-01,
57,BlackBerry 10,B1,console,8,2013-01-30,
58,BlackBerry OS,BO,console,6,1999-01-19,
59,Commodore VIC-20,CV2,computer,,1981-01-01,58
60,Philips CD-i,PCI,console,4,1991-12-03,39
61,ColecoVision,ColecoVision,console,2,1982-08-01,332
62,Neo Geo,NG,console,4,1990-04-26,
63,TurboGrafx-16,T1,console,4,1987-10-30,67
64,Intellivision,Intellivisio,console,2,1979-01-01,191
65,WonderSwan,WonderSwan,handheld,6,1999-03-04,166
66,Nintendo 3DS,N3,handheld,7,2011-02-26,6
67,Game Boy Color,GBC,handheld,6,1998-10-21,6
68,Atari 2600,A2,console,2,1977-09-01,
